,Date,Open,High,Low,Close,Adj Close,Volume,hour,italy,belgium,spain,uk,germany
1,2017-01-04,15.800000190734863,15.979999542236328,15.600000381469728,15.960000038146973,13.414823532104492,7671900.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
10,2017-01-18,15.010000228881836,15.3100004196167,14.800000190734863,15.300000190734863,12.860074043273926,12838800.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
25,2017-02-08,14.369999885559082,14.550000190734863,14.149999618530272,14.5,12.187651634216309,7814400.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
53,2017-03-21,15.56999969482422,15.59000015258789,14.899999618530272,14.960000038146973,12.574295043945312,9883500.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
55,2017-03-23,14.90999984741211,14.960000038146973,14.390000343322754,14.56999969482422,12.246487617492676,15493100.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
